0.5		1580.464482
0.511111111		1601.002669
0.522222222		1621.307969
0.533333333		1641.385674
0.544444444		1661.241078
0.555555556		1680.877709
0.566666667		1700.297332
0.577777778		1719.510531
0.588888889		1738.519073
0.6		1757.326484
0.611111111		1775.931883
0.622222222		1794.326448
0.633333333		1812.53047
0.644444444		1830.618048
0.655555556		1848.532724
0.666666667		1866.2745
0.677777778		1883.839846
0.688888889		1901.253462
0.7		1918.497705
0.711111111		1935.576105
0.722222222		1952.506304
0.733333333		1969.281244
0.744444444		1985.900927
0.755555556		2002.361822
0.766666667		2018.69216
0.777777778		2034.867239
0.788888889		2050.901175
0.8		2066.793966
0.811111111		2082.545614
0.822222222		2098.170233
0.833333333		2113.650179
0.844444444		2128.999567
0.855555556		2144.218397
0.866666667		2159.299612
0.877777778		2174.260855
0.888888889		2189.095068
0.9		2203.80578
0.911111111		2218.392992
0.922222222		2232.860231
0.933333333		2247.214556
0.944444444		2261.441851
0.955555556		2275.563288
0.966666667		2289.554167
0.977777778		2303.456831
0.988888889		2317.225409
1		2330.898714
1.011111111		2323.82741
1.022222222		2316.81962
1.033333333		2309.861231
1.044444444		2302.948713
1.055555556		2296.092653
1.066666667		2289.282465
1.077777778		2282.535791
1.088888889		2275.820875
1.1		2269.148302
1.111111111		2262.549829
1.122222222		2255.979586
1.133333333		2249.469328
1.144444444		2242.987299
1.155555556		2236.575842
1.166666667		2230.192614
1.177777778		2223.8482
1.188888889		2217.563772
1.2		2211.318159
1.211111111		2205.125475
1.222222222		2198.957491
1.233333333		2192.845964
1.244444444		2186.773252
1.255555556		2180.732298
1.266666667		2174.747801
1.277777778		2168.791533
1.288888889		2162.89525
1.3		2157.02014
1.311111111		2151.194429
1.322222222		2145.400476
1.333333333		2139.662981
1.344444444		2133.943129
1.355555556		2128.258562
1.366666667		2122.633982
1.377777778		2117.034101
1.388888889		2111.480093
1.4		2105.943727
1.411111111		2100.467348
1.422222222		2095.01214
1.433333333		2089.602804
1.444444444		2084.211111
1.455555556		2078.875875
1.466666667		2073.561811
1.477777778		2068.279505
1.488888889		2063.039541
1.5		2057.827806
1.511111111		2052.661943
1.522222222		2047.513723
1.533333333		2042.407846
1.544444444		2037.32667
1.555555556		2032.291365
1.566666667		2027.270174
1.577777778		2022.294855
1.588888889		2017.337179
1.6		2012.428904
